epoch,train_loss,train_recon_loss,train_mse_loss,train_kld_loss,train_chron_adv_enc_loss,train_time_bin_adv_enc_loss,train_chron_disc_loss,train_time_bin_disc_loss,val_loss,val_recon_loss,val_mse_loss,val_kld_loss,beta,lr,is_best
1,15.408632351878348,15.33167651376079,75.15645388127388,1.5387845995096396,0.0,0.0,0.0,0.0,9.923279234180395,9.87404300052704,48.1178485561295,0.9845982565730879,0.05,0.001,True
2,9.173485275138626,9.077206929439923,43.98638676416846,0.962655848698949,0.0,0.0,0.0,0.0,6.141126209744071,6.0657276637824955,29.243261891208157,0.7539767070331174,0.1,0.0009990232305719944,True
3,5.221985781599705,5.1164745668033635,24.47026182975509,0.7028160148340525,0.0,0.0,0.0,0.0,3.702227426229557,3.627657311564119,17.32392873898045,0.4963361701259574,0.15000000000000002,0.0009960967771506667,True
4,3.3083281368247985,3.2036456686354327,15.182247375959406,0.5214549711648262,0.0,0.0,0.0,0.0,2.852775317699329,2.7644353087936184,13.23631673679972,0.43873565679296367,0.2,0.000991232189110701,True
5,2.360231872138523,2.2304840621179087,10.518440990396519,0.5149447170074001,0.0,0.0,0.0,0.0,2.2022276663503666,2.0843157333852846,9.92119027789581,0.4682783351383036,0.25,0.0009844486647586723,True
6,1.6915262863115992,1.5398607708420735,7.184396299940588,0.501103909221388,0.0,0.0,0.0,0.0,1.7435603356637794,1.6042681339965421,7.6113044704525965,0.458381363372956,0.30000000000000004,0.0009757729755661011,True
7,1.3282800882473746,1.1550527714994232,5.389741455533633,0.48987532274077844,0.0,0.0,0.0,0.0,1.5966216760689382,1.440903260052852,6.866476779160318,0.4401493520567148,0.35000000000000003,0.0009652393605146844,True
8,1.1701555319933785,0.9732840931664608,4.555221481131288,0.4873833660905222,0.0,0.0,0.0,0.0,1.5204177793587754,1.330356033685032,6.34254481251041,0.4692784527134043,0.4,0.0009528893909706797,True
9,1.048637299730052,0.8482785494049425,3.9903651042624464,0.49576831035161767,0.0,0.0,0.0,0.0,1.4488687158697844,1.2562092696778004,6.016711254757768,0.47717393660165264,0.4,0.0009387718066217125,True
10,0.9963712419798388,0.7963823099395758,3.776375567403456,0.49471622062705695,0.0,0.0,0.0,0.0,1.4321941515411614,1.2462397605760416,5.988635841686492,0.45737449139915953,0.4,0.0009229423231234975,True
11,0.981655967985675,0.7820728342899447,3.7232392303420188,0.49314213878028296,0.0,0.0,0.0,0.0,1.4465905012998028,1.2549254855239809,6.037138179011075,0.4737315079879582,0.4,0.000905463412215599,False
12,0.9754956472553443,0.7766946020364535,3.7034523369206864,0.49174607519492614,0.0,0.0,0.0,0.0,1.4396412275907635,1.252726431357033,6.035023827254524,0.461674077506585,0.4,0.0008864040551740157,False
13,0.9693509275991318,0.77102474484737,3.6809869130994426,0.4907589634499652,0.0,0.0,0.0,0.0,1.4318275917645027,1.2485284503790197,6.013938442975317,0.4535097935116542,0.4,0.0008658394705735987,True
