epoch,train_loss,train_recon_loss,train_mse_loss,train_kld_loss,train_chron_adv_enc_loss,train_time_bin_adv_enc_loss,train_chron_disc_loss,train_time_bin_disc_loss,val_loss,val_recon_loss,val_mse_loss,val_kld_loss,beta,lr,is_best
1,15.60912989365385,15.527815450711493,76.1171513906643,1.6259265683015567,0.8223043045779009,2.53529745326996,1.300788407328338,1.8072745731575848,10.069086596653772,9.950983380448827,48.49188868321384,2.3620643240989128,0.05,0.001,True
2,9.99597183397558,9.872538828649915,47.92836689498853,1.2343299205641642,0.8251748420599699,2.4268846220557947,1.3198322616807492,1.9696136494196597,6.629988420021055,6.5113126187354196,31.45336441374957,1.1867580105284625,0.1,0.0009990232305719944,True
3,5.850220016021769,5.675605546142908,27.228558956237368,1.1640517518833615,0.8855454146218794,2.4673845131940992,1.2693028892260063,2.060474189420348,4.073430425556642,3.91608871760979,18.741752738466054,1.048922760040687,0.15000000000000002,0.0009960967771506667,True
4,3.649565290252437,3.371005573984515,15.991993098667146,1.3927950506349451,0.7963767279017016,2.5278098065179315,1.3237835656814119,1.7854362068690315,3.0166884044527422,2.713892755104943,12.970079427272667,1.5139766783450976,0.2,0.000991232189110701,True
5,2.676733984442374,2.2580178878709662,10.647749447166856,1.6745547799016272,0.8589676778229695,2.6309999792259164,1.2952687868499446,1.8095517987085075,2.513428510176118,1.9810434227167804,9.422150049137464,2.1295363360375044,0.25,0.0009844486647586723,True
6,1.7796979512813347,1.426882612972542,6.627542489690083,1.1757166185086145,1.0496430295834165,2.564435831924952,1.1785843727030805,1.956316209337928,1.6600715803766226,1.3762164236332162,6.4990286292462915,0.9458909998428633,0.30000000000000004,0.0009757729755661011,True
7,1.296418503614365,0.9840519284172375,4.564036022717566,0.891723859279108,1.2155627366116808,2.577576260797525,1.095658949924704,1.9140914788927175,1.6976694048786938,1.2808877338137357,6.093934176448302,1.1900311666547878,0.35000000000000003,0.0009652393605146844,False
8,1.417215623052864,0.849760397705102,3.9899467372930064,1.4177147169569368,1.3527416628699203,2.698611095367063,1.0896749634911642,1.9522561549606532,2.008253641030564,1.289876059689799,6.180063452228705,1.7957844202025812,0.4,0.0009528893909706797,False
9,1.2100354318905528,0.81122327980111,3.843326111931327,0.9959246170728197,0.8936636840784072,2.673916671824063,1.3040056895459702,1.6728479046938043,1.5936032985825612,1.294524058850385,6.2180934315847205,0.7457463288890569,0.4,0.0009387718066217125,True
10,1.08378285777038,0.7862051121668956,3.742021387239443,0.7422592517467361,1.455546532564074,2.501364302894861,0.9990856085362896,1.8769861183146017,1.6215193919177546,1.3025036309832503,6.261201906465339,0.7959464965575662,0.4,0.0009229423231234975,False
11,1.1688090284605206,0.7845440871713519,3.7433927165313876,0.9593354787907119,0.8703079150697691,2.691834732623328,1.3173508625532706,1.863168518912106,1.8074891647613682,1.3022131801828218,6.267037166309656,1.2631030219620323,0.4,0.000905463412215599,False
12,1.1064750291936307,0.7778071328427864,3.713611065738478,0.8200307669875887,0.7532342855844879,2.479935745919952,1.361444752196766,1.867330758830691,1.7842436316777504,1.3112256470205632,6.312319957538719,1.1815002115498088,0.4,0.0008864040551740157,False
13,1.2802975579209879,0.7724514848805042,3.6901427830281506,1.26903467306413,0.888732810942077,2.677218805398467,1.3054638061972164,1.7740753278827475,1.9237210319742406,1.1680879692239812,5.618499153608444,1.8890555025925275,0.4,0.0008658394705735987,False
14,1.150206978536571,0.6555713549549962,3.1095814064170377,1.2360809247831082,0.8735886788951924,2.65113989013253,1.288555738273816,1.8103410289654478,1.7084654433838797,1.0659489922171699,5.105282528605317,1.605015604714829,0.4,0.0008438508174347009,False
15,1.1608135381817115,0.6029430936534387,2.852047047002222,1.394048205813955,0.8975472418530966,2.7477082581501957,1.2688315053070571,1.7384485187755323,1.8767642580787294,1.0353038407261925,4.9555472648866425,2.1030149803593368,0.4,0.0008205248749256015,False
16,0.9698762543662011,0.5988115597674556,2.8259775557687976,0.926324799734381,0.6957585061265631,2.6662364944331824,1.3867221762814532,1.7951974882941046,1.2733725732214018,0.9890429269796515,4.718918933241522,0.7089042096942113,0.4,0.0007959536998847743,True
17,0.8559545506302432,0.5554989729200589,2.6202811836188546,0.7489471046430786,0.7049767988623751,2.500520447765594,1.3774877888095856,1.793961223442003,1.277291470916972,0.9827653833055677,4.686435827942417,0.7345975318056633,0.4,0.0007702342635146033,False
18,0.842801993370427,0.5237279736162166,2.467428507400598,0.7959711644413527,0.7914549437497497,2.5249364056756827,1.3329305972672505,1.7525335324676334,1.1928344310436494,0.9221115833224746,4.391034667246005,0.6739523014966259,0.4,0.000743468068680349,True
19,0.7845307000889273,0.4758308506973246,2.234539209549052,0.7700624472369734,0.9287702338754501,2.6581763231454474,1.2447733764017426,1.7420803141839978,1.1617037399730394,0.8766084625828883,4.167133414355966,0.7111855049676682,0.4,0.000715760749324711,True
20,0.8041301411774306,0.4304009184516164,2.00692472826518,0.9333108133239436,0.9121480883664882,2.854534479528899,1.2600490295063256,1.476874215610531,1.324367580851582,0.8351275345425127,3.9631356777367692,1.2229729782806558,0.4,0.0006872216535789157,False
21,0.8531934001357387,0.36903048723292065,1.70598481444955,1.209691393946674,0.8952893779376747,2.9629069043937415,1.2793338276774315,1.5638781938698159,1.2577874160276838,0.7228138128777349,3.4084295711444486,1.336226484593339,0.4,0.000657963412215599,False
22,0.8881047276603001,0.3265474572752452,1.5015353454148697,1.402798914748259,0.8940771913746448,3.046621238405435,1.2737390624507492,1.4769431497596774,1.404203768919156,0.7085996791883016,3.345304510118904,1.7379552442426027,0.4,0.000628101494146603,False
23,0.9337633323965725,0.30629135046509964,1.406744530595768,1.5675911201579398,0.9247626042144281,3.1441080784847957,1.253156932345399,1.5101829141528142,1.4917094213021176,0.7359671480241715,3.4825737820431524,1.8881233382850098,0.4,0.0005977537507199338,False
24,1.0464841583904874,0.29718405091842853,1.3645820444540997,1.8724049560366292,0.9876758037655916,3.235251361039192,1.2243876258507338,1.457657427578422,1.7307905494308382,0.6822714998071344,3.2179460819267085,2.621205113307218,0.4,0.0005670399506143307,False
25,1.2717233004861501,0.2745469525111553,1.259717894747216,2.4927583566483786,0.9787226341546809,3.6202180124088263,1.24573641443811,1.8274708904914552,1.9361085306508696,0.6738157576445567,3.1859403157975077,3.155700738635997,0.4,0.0005360813071670102,False
26,0.8541628906533654,0.31484785813307187,1.4410464704697374,1.3473949271507093,0.7864308762196803,3.0607161099436055,1.3375002559235603,1.6139958731664545,1.1755131293134518,0.7392518583356373,3.484230687850829,1.0902811939950547,0.4,0.000505,False
27,0.6630890033765641,0.2854269462904285,1.3041542830431876,0.9429979272376006,0.8073249474939713,2.935560715095415,1.3223117071497599,1.8015901298358201,1.018105699437158,0.6899380171398958,3.24611569572421,0.8195032211682463,0.4,0.0004739186928329899,True
28,0.627852854067998,0.26755005615845956,1.222332917020542,0.8993496065896938,0.8651479806495275,2.833306328001604,1.2767722208237955,1.6458685918743494,1.0435721687102282,0.699370989419317,3.2975292215122316,0.8593954270163969,0.4,0.0004429600493856695,False
29,0.6409079222247317,0.2592014382244997,1.1844847751527283,0.9530608105450945,0.95117555171585,2.8288067367946317,1.2202154008646462,1.5646798045408947,1.0542013747095325,0.6829502022880778,3.219706860882773,0.9265376785103023,0.4,0.0004122462492800663,False
30,0.651268897991478,0.25258148775424316,1.1549992357032837,0.995818455676797,0.9352421230365858,3.029555578329625,1.2394227918786658,1.624722082032132,1.1051748026613255,0.7049336958038047,3.3306024822185636,0.9982656390590073,0.4,0.00038189850585339686,False
