epoch,train_loss,train_recon_loss,train_mse_loss,train_kld_loss,train_adv_enc_loss,train_disc_loss,val_loss,val_recon_loss,val_mse_loss,val_kld_loss,beta,deterministic_latent,lr
1,17.73523087283786,17.73523087283786,87.0526826185007,4.704516241716251,0.0,0.0,13.070844644650128,13.070844644650128,63.74247720822278,7.729963856449206,0.0,True,0.001
2,14.418395774146685,14.418395774146685,70.38193283617666,8.147153064502474,0.0,0.0,13.167381504337603,13.167381504337603,64.23940585695195,8.359064650188664,0.0,True,0.0009990232305719944
3,14.358955340619989,14.358955340619989,70.08522076001285,8.371168226790877,0.0,0.0,13.19070615281829,13.19070615281829,64.35140761963177,8.389339574201326,0.0,True,0.0009960967771506667
4,14.358615682907354,14.358615682907354,70.08312389848322,8.317326842088013,0.0,0.0,13.185606242568436,13.185606242568436,64.33277610427781,7.153877899954443,0.0,True,0.000991232189110701
5,10.799261855667032,10.799261855667032,52.519164128775046,3.9958260007770225,0.0,0.0,6.984261246013964,6.984261246013964,33.74189647070084,4.629024388055373,0.0,True,0.0009844486647586723
6,5.913930562917157,5.841849740328821,27.951225973984805,2.703009463144903,0.7263026291202912,1.3545489564647835,4.009558891306569,3.963000874841125,18.862440163826147,1.7459256174541393,0.02666666666666667,False,0.0009757729755661011
7,3.8748060948568956,3.799615399830416,17.981317971192073,1.4098255317464983,0.7899032479989384,1.31539809485899,3.0330469790550603,2.9701852776438393,14.144959612240585,1.178656901460415,0.05333333333333334,False,0.0009652393605146844
8,2.8923469643341675,2.793120565779586,13.220654075822248,1.24032998193228,0.7877966238394484,1.3339296864862846,2.573947461786047,2.482886710413208,11.86971945683672,1.1382593921604867,0.08000000000000002,False,0.0009528893909706797
9,2.4252000456822325,2.3072041827292624,10.917020255536318,1.1062111960292424,0.7848296407505252,1.319782927060136,2.201004645903262,2.097875923797693,10.006712114095134,0.9668313838783021,0.10666666666666667,False,0.0009387718066217125
10,2.1444095600751703,2.0059892524663407,9.46647634149169,1.0379852059743926,0.8677526840152937,1.2716538699638156,2.048682762944145,1.8985657305120602,9.039761132398787,1.1258760530850689,0.13333333333333333,False,0.0009229423231234975
11,1.9803410123310154,1.8251109727101322,8.59954882798661,0.9701474512003676,0.8756770322085902,1.2733654363757756,1.912572878076264,1.7565512630884115,8.355037889873943,0.9751203152843089,0.16000000000000003,False,0.000905463412215599
12,1.7723119378915657,1.5952620024459117,7.469071105693181,0.9482766336499474,0.9495894556552147,1.2228546441360628,1.6122179502289475,1.4228757558283236,6.707180593973076,1.014285811977202,0.18666666666666668,False,0.0008864040551740157
13,1.4972750581602228,1.3087088951049402,6.070020632669458,0.8828414535481125,0.8841855964044075,1.2646518948130754,1.4442076814266582,1.2765377887406064,5.997908356175212,0.7844851748156685,0.21333333333333335,False,0.0008658394705735987
14,1.3036455692826228,1.1064037427260538,5.106928161552051,0.8207522408696022,1.0280541356408615,1.180062694968283,1.3052519362202475,1.1079997902534513,5.180296731828947,0.8217235135010884,0.24,False,0.0008438508174347009
