epoch,train_loss,train_recon_loss,train_mse_loss,train_kld_loss,train_chron_adv_enc_loss,train_time_bin_adv_enc_loss,train_chron_disc_loss,train_time_bin_disc_loss,val_loss,val_recon_loss,val_mse_loss,val_kld_loss,beta,lr,is_best
1,77.59935468295299,77.45315551658024,77.45315551658024,2.9236917048360045,0.762334289272714,2.6113449196050063,1.342485231596634,1.8725616000298297,46.01908904750534,45.916324826996416,45.916324826996416,2.055284410178028,0.05,0.001,True
2,38.83610005856384,38.57422888056729,38.57422888056729,2.6187117799651367,0.8354226044476878,2.4318721882369867,1.3033174682790098,2.1504987513482057,23.688590980055448,23.43029492091609,23.43029492091609,2.5829605913936264,0.1,0.0009990232305719944,True
3,18.232223252648186,17.92387077502807,17.92387077502807,2.0556831826654407,0.843426454863981,2.389004516545662,1.2925186261642758,1.9496477685323086,12.639077382315776,12.403375345575878,12.403375345575878,1.5713469115993133,0.15000000000000002,0.0009960967771506667,True
4,8.743247416359127,8.432759710870576,8.432759710870576,1.552438527442792,0.8152354534741008,2.3908356436569433,1.3114283482010656,1.8688513299049496,6.510594703883418,6.2236002433398525,6.2236002433398525,1.434972302717825,0.2,0.000991232189110701,True
5,4.3466097298308375,3.9850277293598237,3.9850277293598237,1.4463280018840703,1.0072184158193582,2.4229901937565255,1.1885783452024825,1.9229831508184037,4.171632760368363,3.8404779814157104,3.8404779814157104,1.3246191158106153,0.25,0.0009844486647586723,True
6,2.7320854718541163,2.340637640401397,2.340637640401397,1.3048204195581712,1.044439628635146,2.372879976639204,1.1665420632324217,2.018731560634708,3.431959486481328,3.0554282296922546,3.0554282296922546,1.2551016723011728,0.30000000000000004,0.0009757729755661011,True
7,2.1599487230063827,1.726987867794766,1.726987867794766,1.2369317420866994,1.1197637234116717,2.382518465323993,1.1270098195765537,1.9798456112125933,3.0247709867659878,2.594661531764547,2.594661531764547,1.2282324956147077,0.35000000000000003,0.0009652393605146844,True
8,1.82540455880623,1.3241716655911187,1.3241716655911187,1.252804885288399,1.173175094568595,2.4312577650683087,1.1061272739020749,1.8346344465517768,2.645377808192954,2.1693567468308337,2.1693567468308337,1.1892875089874855,0.4,0.0009528893909706797,True
9,1.5060170777270614,1.0186373410924312,1.0186373410924312,1.2181606744757736,1.2279743776689596,2.435561244690614,1.0856621251761815,1.8379189234016435,2.214310413427803,1.7654455951822883,1.7654455951822883,1.1218064035897257,0.4,0.0009387718066217125,True
10,1.2939220482819531,0.7996051293836202,0.7996051293836202,1.2355956124731002,1.2718190259022684,2.496610066973442,1.0703832756359624,1.788718063150545,2.2217055021046948,1.7707352641874337,1.7707352641874337,1.1272037251071616,0.4,0.0009229423231234975,False
11,1.1654291468351088,0.6712284452648692,0.6712284452648692,1.2352604072798543,1.2243661130536092,2.5265240642998035,1.1116439160709584,1.7334301207507974,2.119469893499867,1.642913614548196,1.642913614548196,1.1913624052770366,0.4,0.000905463412215599,True
