variant,accuracy,precision,recall,f1
Recon only,0.04478744963402713,0.000556796206601328,0.9858657243816255,0.00111296383465905
KLD only,0.9969320267982739,0.001504324934185784,0.007067137809187279,0.00248062015503876
Recon AND KLD,0.997114178766421,0.0016207455429497568,0.007067137809187279,0.0026367831245880024
Recon OR KLD,0.04460529766587989,0.0005566901081754631,0.9858657243816255,0.0011127518772702481
