"experiment","display_name","ood_attack_recall","ood_macro_f1","ood_bal_acc","benign_specificity","unseen_recall","delta_attack_recall_vs_primary","delta_macro_f1_vs_primary"
"primary__compressed_plus_losses","Primary: compressed + losses","0.975311962916326","0.982189301629198","0.987567292857697","0.999822622799068","0.975311962916326","0","0"
"primary__compressed_only","Primary: compressed only","0.222062924759576","0.468833000379279","0.611027305101641","0.999991685443706","0.222062924759576","-0.753249038156751","-0.513356301249919"
"primary__all_compressed_features","Primary: all compressed features","0","0.255993074748019","0.499954269940385","0.999908539880769","0","-0.975311962916326","-0.726196226881178"
"no_time_adv__compressed_plus_losses","No time adversary","0","0.22381120170079","0.41898019195539","0.837960383910779","0","-0.975311962916326","-0.758378099928408"
"no_student__compressed_plus_losses","No student loss","0","0.256006800244934","0.499990299684324","0.999980599368648","0","-0.975311962916326","-0.726182501384264"
