tag,size_name,lam,seed,encoder_params,lgbm_bin_f1,lgbm_bin_mcc,lgbm_recall_seen,lgbm_recall_unseen,lgbm_fpr_benign,lgbm_mc_macro_f1,lgbm_mc_weighted_f1,lgbm_mc_attack_macro_f1,mlp8_bin_f1,mlp8_bin_mcc,mlp8_recall_seen,mlp8_recall_unseen,mlp8_fpr_benign,mlp8_mc_macro_f1,mlp8_mc_weighted_f1,mlp8_mc_attack_macro_f1
L_lam0.05,?,0.05,42,,0.5899661372860803,0.557850605241088,0.6602970749098963,0.0004557836829441506,0.02113273002022793,0.33397123271952867,0.898664811547888,0.26576676429688306,0.44728750035570747,0.3066900401350914,0.4062241953816412,0.5297054365453717,0.13949682595451615,0.1681746726251685,0.8223983058225702,0.08352287887683352
L_lam0.25,L,0.25,42,40576.0,0.4846552425801576,0.3697413682275161,0.6472842612471706,0.0012931537050973575,0.09962000143266965,0.2684691023767594,0.8503003183375034,0.19780680784144505,0.28054378822713205,0.07360378776004588,0.27732010841582716,0.38494641891820275,0.23220675469625698,0.1335779102467597,0.7552998675430973,0.0525775067704963
L_lam0,?,0.0,42,,0.609752911723087,0.5842174881030092,0.6796341451567464,0.0013355521872316972,0.01627785604398978,0.2748057296114064,0.8860314177540454,0.20137727672119254,0.3609112574912288,0.28818718939073074,0.3819666397893857,0.016418812206523005,0.054535252201024016,0.15980810161866202,0.8082061930869069,0.07545454789139434
L_lam0_s43,L,0.0,43,40576.0,0.634826475255402,0.617494005531193,0.7044940108998708,0.0019503301781796211,0.010298165841744582,0.18190843697606496,0.7514161236860685,0.1105280433781931,0.3832502128436549,0.291858555496657,0.43332329483081883,0.011087203078129803,0.06867433713445605,0.269114000185562,0.8998902114997163,0.1930093473351898
L_lam0_s44,L,0.0,44,40576.0,0.60049832266067,0.5707972179856858,0.6717409677764069,0.001748937388041508,0.019162809260503684,0.08340607955584048,0.45894065207722085,0.0347578594141609,0.467417319884373,0.3404226250977938,0.6474882695240778,0.0019185313165788664,0.11721284354224158,0.1830878465609546,0.827170097851314,0.10105630293256193
L_lam0_s45,L,0.0,45,40576.0,0.5968696644391027,0.5515730314418893,0.6264365582832218,0.14111274816361574,0.029213669032845658,0.29546587639353017,0.8736221354007415,0.2261009580098807,0.34980964312647483,0.16576612028993026,0.37448147896286077,0.4021602026647446,0.20676322405247663,0.17637117282657297,0.7964044117486097,0.09690970379128083
L_lam0_s46,L,0.0,46,40576.0,0.6375382694830954,0.6237192830859437,0.6961248142067478,0.01828434542043395,0.008306925593278733,0.2817738491543946,0.8831544393737377,0.2093124458488686,0.5870393062105216,0.5328767894869896,0.6909128884657606,0.0004769829240113204,0.036034199871059734,0.28810370900817783,0.88989188641253,0.2148859476394249
L_lam1,L,1.0,42,40576.0,0.6009564302955562,0.5133270038343851,0.6389539232734586,0.3592847376063937,0.07242827271207775,0.26097889078677683,0.8599469185361208,0.18794849613152662,0.42318292611690234,0.24482466648918821,0.6302592848052693,0.31402435792798616,0.2504161564202361,0.17640989646962474,0.8150643620673422,0.09450652859890879
M_lam0.25,M,0.25,42,18064.0,0.4881831528922443,0.3758523183162887,0.6468665300135034,0.0017277381469743382,0.09610910802670224,0.25025591442119727,0.8592819753543931,0.1753419101658173,0.3074793915651743,0.0957483169059734,0.36404791280103366,0.3665772765335001,0.25813807524244525,0.09110882919255031,0.7729918714978805,0.0002662710639430941
M_lam0,M,0.0,42,18064.0,0.46990437208694336,0.384818230365548,0.5467810408307994,0.02613866423582036,0.06340842341527976,0.2527740467509518,0.8132290606201525,0.1837914250469349,0.3205452507630764,0.23057446335635323,0.34774182266823395,0.008119309328726032,0.06727407311390747,0.19871634754427997,0.823908187391057,0.11862061033271784
M_lam0_s43,M,0.0,43,18064.0,0.5394363848590962,0.4780651185056696,0.6281900579966387,0.0007631726784181126,0.042760924958810745,0.26964469624529863,0.8686262786394033,0.19715298237133919,0.30302545061499814,0.17269389080344746,0.3667631658198704,0.0019927286603139607,0.10547433304111421,0.09229112338826617,0.7727951888588702,0.0016114836806287265
M_lam0_s44,M,0.0,44,18064.0,0.5619678955088128,0.4993630643341512,0.6653827098127981,0.0018973320755116968,0.043299881634198505,0.28563305702084124,0.8641276973835883,0.21537499069392932,0.2794398325936487,0.06306441090267782,0.4704965172872728,0.0037416660483554688,0.25443445365825373,0.19615290292537435,0.8251135955175722,0.11560931215125196
M_lam0_s45,M,0.0,45,18064.0,0.4709655962751336,0.379659808312838,0.5583852259148799,0.027347020976649036,0.06939749419257127,0.2276878234028748,0.8258735990461333,0.15352674116982318,0.5481843072543441,0.42287236813406776,0.43093834092697475,0.955799582374951,0.14801012419881363,0.17433855238595947,0.7652195304525539,0.09876871092373413
M_lam0_s46,M,0.0,46,18064.0,0.572274171901708,0.5394310546113927,0.6353352050283183,0.001134159397093584,0.02248864950419397,0.26202750950096393,0.8361924849197703,0.19206727327721054,0.3470462727144746,0.2013574037684832,0.4600338070858875,0.0021199241067169795,0.12947496068686276,0.21588932444794526,0.8324798200537717,0.136762545078635
M_lam1,M,1.0,42,18064.0,0.4562829875273975,0.35564520196448385,0.5256953282104588,0.08301622801903692,0.07883008879140671,0.24343055969434477,0.8537473505548643,0.1680247200222899,0.21144963894800228,0.0057935033763313005,0.19427416769480363,0.2590547258408149,0.20877407823058478,0.09571321065505964,0.7722995376689206,0.005489899331659335
S_dropport,S,0.0,42,3024.0,0.47922603602529257,0.32375285657377095,0.6535210857126204,0.4267937207847959,0.2170477454214266,0.18015238858273044,0.774968745997394,0.1048231425274916,0.49162060210062986,0.3417794124827237,0.7347892400205951,0.8305968646322461,0.34481629422941135,0.09119425543510598,0.7589989189118651,0.002294096542763706
S_lam0.25,S,0.25,42,3040.0,0.4207740951697538,0.3236183042661244,0.49806677870930766,0.007027548413766787,0.07428989046899465,0.293282213888963,0.8756815065933227,0.22329991576874203,0.13778094304141233,-0.1682699753411813,0.26758599920339626,0.0035826717403516953,0.38283235377389063,0.08400360213950697,0.7140691515950626,6.709475319030051e-05
S_lam0,S,0.0,42,3040.0,0.6222988604399848,0.557483906052229,0.6731155949755676,0.22190305587059983,0.04513335766597648,0.22321426821856366,0.8578653770832964,0.14439419362558226,0.40531276506855385,0.24390290057708822,0.5480099478321692,0.16153821693183384,0.1736549108163147,0.13646932796888994,0.7970394919658444,0.05019995131950197
S_lam0_s43,S,0.0,43,3040.0,0.3663799875890549,0.19480391921053433,0.5596821356752189,0.002141123347784149,0.18287516330728376,0.15604392690733687,0.7623470738885237,0.07812062068545211,0.27336500147530657,-0.049571052021440416,0.2921301378513071,0.9975832865183426,0.574862958326369,0.10341450915197373,0.7456142917981718,0.018353608569529195
S_lam0_s44,S,0.0,44,3040.0,0.47614027959322136,0.37272910957799127,0.5999446263248395,0.007440933614576598,0.08299762245061554,0.17504467112166464,0.811808018113057,0.09126413560226446,0.4796672600926306,0.3561970577923512,0.6617154181683943,0.003953658459027167,0.11320989633611794,0.19453478378313682,0.8291179581727574,0.11339147538091894
S_lam0_s45,S,0.0,45,3040.0,0.4767115530939784,0.35414401745302543,0.6514858602834743,0.006126580668412071,0.11104127794132194,0.19156148818679183,0.8061649681531056,0.11399575115232892,0.4164690297630494,0.23616210447434102,0.7543448905641315,0.006741358659359995,0.24960431028895583,0.17054981250363732,0.7775202727733844,0.09297450497568373
S_lam0_s46,S,0.0,46,3040.0,0.6815723135809016,0.5966267278530936,0.6133071684622633,0.9228241628949684,0.09588567978469022,0.21715035371936783,0.8375894706750683,0.1400855980870666,0.43092998271245414,0.24548927117905175,0.554703362250697,0.8834677718537677,0.3573828536732626,0.09523228365019767,0.7622053986952393,0.0064576934144881075
S_lam1,S,1.0,42,3040.0,0.5387908155402976,0.48810603062548563,0.605268270884133,0.013344922251783386,0.03508249789363451,0.109696241784254,0.5740122987741403,0.049879386653663406,0.293611584226964,0.04416609604440932,0.5388635767508282,0.14792830416671082,0.3629702652826623,0.0937557713264669,0.7745705869108015,0.003013078451492896
