tag,size_name,lam,seed,encoder_params,auroc_recon_unseen,auroc_recon_seen,auroc_kl_unseen,auroc_kl_seen,auroc_elbo_unseen,auroc_elbo_seen,recon_thr_fit,ood_recall_unseen_at_fpr1,ood_recall_seen_at_fpr1,ood_fpr_benign_test
L_lam0.05,L,0.05,42,40576,0.9908824907539941,0.3948371471353934,0.8034467272257375,0.29138376271695976,0.9908521408935927,0.35081007393016445,0.07421654462814331,0.9810478784859502,0.028551444087160108,0.024433839656977954
L_lam0.25,L,0.25,42,40576,0.9855628171857754,0.4414632064774454,0.42823456329287185,0.43728849147861354,0.9822785512173902,0.47889567911136643,0.12519250810146332,0.6360196304972282,0.027405111864538503,0.011086986925183945
L_lam0,L,0.0,42,40576,0.9914535163714355,0.3803230419627648,0.2642887611991574,0.3587744533120877,0.9909243203307587,0.34705386824339046,0.05706057325005531,0.9942126071886627,0.03165042696017953,0.027335848464485144
L_lam0_s43,L,0.0,43,40576,0.9922591358552284,0.3605416824432181,0.4603170546190652,0.3353968651444259,0.9918881982100419,0.31827147354810553,0.04763537645339966,0.9933116394433079,0.027759697679162983,0.025562067001183658
L_lam0_s44,L,0.0,44,40576,0.9877187009875715,0.344907539168308,0.1201118839776481,0.44690801819714054,0.9760991594751481,0.3443625393787582,0.05248863622546196,0.9237569295019238,0.028454297288632854,0.02058780388799252
L_lam0_s45,L,0.0,45,40576,0.991448090139762,0.35230283080159003,0.10847861681191719,0.323960900372309,0.9875408471022837,0.3086988907295566,0.07433542609214783,0.9801681099816627,0.021469442474523252,0.021484075194689572
L_lam0_s46,L,0.0,46,40576,0.9829622446573811,0.39221358169523635,0.5135916508015163,0.390876357474891,0.9875167150129346,0.33363453900485057,0.03793996199965477,0.9871956583954294,0.06434032466460068,0.24445181624988488
L_lam1,L,1.0,42,40576,0.9877727365484508,0.4099959585851185,0.5207813876569387,0.29225154023710037,0.9698185525635358,0.3261855927525827,0.10661325603723526,0.8711192139321412,0.030261227741239786,0.017423991758738433
M_lam0.25,M,0.25,42,18064,0.9787719408359905,0.46878566392452653,0.514843119628396,0.3595582971626016,0.9666255544986941,0.41596693415612485,0.15317508578300476,0.6801564503990757,0.026691082895363184,0.012095825132436663
M_lam0,M,0.0,42,18064,0.9890315511406168,0.3941869272508362,0.4814966918985074,0.3774535841749165,0.9841822226403821,0.34651783033125205,0.09904520958662033,0.922092789078151,0.01403771238718828,0.020475236987436852
M_lam0_s43,M,0.0,43,18064,0.9896776776361119,0.4151527299345114,0.5403020723098566,0.5183303059474024,0.9819058191945185,0.47482892784930425,0.1107335165143013,0.9019323108232725,0.01416400322527371,0.017104199427614365
M_lam0_s44,M,0.0,44,18064,0.9883829316865695,0.449841058791454,0.5150998717342942,0.40698246324784837,0.9801836523574087,0.40869207753815484,0.10954773426055908,0.8346035211939412,0.014868317514596307,0.014024812473777029
M_lam0_s45,M,0.0,45,18064,0.98542698810459,0.4504057313014606,0.48593495700941464,0.3887462533266724,0.9793568555705405,0.42697512120885867,0.132036030292511,0.7919188493051948,0.029556913451917192,0.015054970169771352
M_lam0_s46,M,0.0,46,18064,0.9896423148135005,0.43901063727149187,0.23649390750236568,0.3527316562674823,0.9507657405117794,0.36281424195424006,0.1072145402431488,0.8624699235767359,0.010049836307644482,0.016025433297289185
M_lam1,M,1.0,42,18064,0.9807389162282245,0.42046711778002377,0.22474905440870693,0.5255468203720307,0.9713630228958178,0.440247187679374,0.154293030500412,0.5315391708976819,0.024680144165849016,0.008272814411292165
S_dropport,S,0.0,42,3024,0.9877987426774227,0.3713391576371166,0.2866808795528608,0.47675007577747036,0.7847364662689319,0.44465572527954644,0.1889716237783432,0.7565691148256892,0.028031708715039298,0.014038456946571656
S_lam0.25,S,0.25,42,3040,0.5282307374065202,0.36419572845456294,0.26743725160710285,0.3792024419200417,0.28320248708750795,0.33733334173881124,1.3350454568862915,0.0,0.008077756297541214,0.0017814564792484624
S_lam0,S,0.0,42,3040,0.9819811471357596,0.48835564531833564,0.30866190307007,0.3652646346035352,0.89035752055448,0.4312640789012078,0.16684728860855103,0.8565977338011299,0.02801713669526021,0.01553423227668262
S_lam0_s43,S,0.0,43,3040,0.977373080476317,0.3255732600498615,0.3866322503935906,0.4628579369693404,0.8907686004040807,0.36122801823387196,0.19087806344032288,0.8579120867472945,0.024607284066953575,0.016332433935168287
S_lam0_s44,S,0.0,44,3040,0.9776107359444552,0.4792995526380003,0.39367095573604455,0.3734971981796297,0.9243726721679308,0.4423448825885297,0.16991394758224487,0.8348791113278144,0.02680765905359589,0.015861699623753663
S_lam0_s45,S,0.0,45,3040,0.9790597794379347,0.47558976971597045,0.3090575075601058,0.35045336940526534,0.9049905208988741,0.4058100629345051,0.16642941534519196,0.8436979956117571,0.02856115876701283,0.014944961607864675
S_lam0_s46,S,0.0,46,3040,0.9790241169588056,0.35721749318875534,0.8655787110462965,0.4879711633493236,0.9824570994080317,0.4372063045585223,0.2079218029975891,0.14804489999258028,0.02136258099614327,0.003417087655504351
S_lam1,S,1.0,42,3040,0.5273520065231485,0.36475236533347916,0.24835754635232918,0.6741869326733599,0.4499910179823137,0.4285148565348296,1.334476351737976,0.0,0.008082613637467578,0.0017806036996987982
XS_lam0.25,XS,0.25,42,1060,0.5272843401385754,0.3647172164250623,0.9738181661259264,0.34485504344870377,0.6187603440924175,0.3384106228926098,1.3353439569473267,0.0,0.00808747097739394,0.0017823092587981265
XS_lam0,XS,0.0,42,1060,0.9760747335504872,0.4162303979404025,0.3351739034506198,0.3519108580179084,0.8764757449447083,0.384228223726794,0.21783848106861115,0.026848838811570547,0.02026967951271166,0.0036447797952646856
