tag,lam,drop_port,d_eff,best_epoch,seed,latent_dim,mdl_linear_compression,mdl_mlp_compression,lgbm_val_f1,lgbm_val_mcc,lgbm_val_precision_at_fpr0.01,lgbm_val_purged_f1,lgbm_val_purged_mcc,lgbm_val_purged_precision_at_fpr0.01,lgbm_test_f1,lgbm_test_mcc,lgbm_test_precision_at_fpr0.01,lgbm_test_purged_f1,lgbm_test_purged_mcc,lgbm_test_purged_precision_at_fpr0.01,mlp8_val_f1,mlp8_val_mcc,mlp8_val_precision_at_fpr0.01,mlp8_val_purged_f1,mlp8_val_purged_mcc,mlp8_val_purged_precision_at_fpr0.01,mlp8_test_f1,mlp8_test_mcc,mlp8_test_precision_at_fpr0.01,mlp8_test_purged_f1,mlp8_test_purged_mcc,mlp8_test_purged_precision_at_fpr0.01,lgbm_head_params,mlp8_head_params,lgbm_head_KB,mlp8_head_KB
L_lam0.05,0.05,False,1,3,42,32,2.3702225849348926,3.9584276096140876,0.9020507615674758,0.8176635659048578,0.9881922274353352,0.9312738729193967,0.8804182647330884,0.9858498837956982,0.8051855077075082,0.7312501216330993,0.9752987077222913,0.5899661372860803,0.557850605241088,0.9143829613182191,0.7256634919667005,0.5154045862221512,0.9652876581623822,0.7708361817806428,0.6047282191877641,0.9682754880694143,0.5546371354028296,0.36314845443988075,0.7238568834598877,0.44728750035570747,0.3066900401350914,0.6687946668173216,25200,273,1379.3,1.06640625
L_lam0.25,0.25,False,1,4,42,32,2.0080528530071775,2.9026250298109413,0.8465940130408292,0.7142322086883984,0.9853268905222106,0.8847890927596054,0.7937992868128941,0.9829785995897407,0.665708139818428,0.5234122083445228,0.9640083812782256,0.4846552425801576,0.3697413682275161,0.8967706982610085,0.6140476206342754,0.351144193552812,0.9430395541321799,0.5834820924640806,0.3358409998324343,0.9090225758793188,0.5293493486666422,0.2786487536809886,0.9184737585887627,0.28054378822713205,0.07360378776004588,0.7333969942932497,25200,273,1379.3,1.06640625
L_lam0,0.0,False,2,3,42,32,2.9500018817949827,7.164826432902768,0.86700653247223,0.7648377529047228,0.9868398728483945,0.9221282007230233,0.866659625381817,0.9853179541342926,0.6752397373718498,0.596597731726546,0.9643882489736079,0.609752911723087,0.5842174881030092,0.9209774375286411,0.8447260541876418,0.7096285231159792,0.971256471838544,0.8475246897358911,0.7444273057305478,0.9710329118938369,0.7164587026487444,0.590049417771766,0.9553652419828185,0.3609112574912288,0.28818718939073074,0.846175039030214,25200,273,1379.3,1.06640625
L_lam0_s43,0.0,False,3,3,43,32,3.4143729000634586,8.878352901052676,0.9224984639522021,0.8530710148385052,0.9884267926366137,0.9374087014616794,0.8920545728932073,0.9862156865055518,0.7959268640866902,0.7286601498859689,0.9755640230264899,0.634826475255402,0.617494005531193,0.9252072968490879,0.8167792749845733,0.6758968003530776,0.977856896626018,0.8243218587400247,0.705967101454017,0.9712740099354279,0.6158247287245449,0.4919495994802205,0.9436707448980022,0.3832502128436549,0.291858555496657,0.84843390321496,25200,273,1379.3,1.06640625
L_lam0_s44,0.0,False,2,3,44,32,2.7293858854234045,7.893396453527269,0.9023819955873653,0.8179819859095167,0.9876577680104718,0.9305988435391915,0.8794861019040298,0.9857472057823302,0.7791997172588934,0.7022710053870868,0.9711782794828284,0.60049832266067,0.5707972179856858,0.9182693313072028,0.8681082245966256,0.73622887450363,0.9724185589351189,0.8728570009458695,0.7677047467188695,0.9622671934209466,0.7634091826242531,0.625724950205752,0.9498461734474011,0.467417319884373,0.3404226250977938,0.5642512077294686,25200,273,1379.3,1.06640625
L_lam1,1.0,False,1,8,42,32,1.8976808889984598,2.380462604086024,0.8399425677784673,0.7071564199872864,0.983839964149957,0.8844934689093663,0.7956561720436949,0.9813229820439894,0.6768575670703807,0.5523594593896632,0.9509844149563663,0.6009564302955562,0.5133270038343851,0.8596898482745418,0.6359933361300371,0.30136720255869626,0.7806472267427901,0.6207456204883606,0.33256111937915156,0.7980088622892328,0.5378300593233296,0.2594097783142725,0.6799780004304263,0.42318292611690234,0.24482466648918821,0.6380055572707626,25200,273,1379.3,1.06640625
M_lam0.25,0.25,False,1,8,42,8,1.98598470294502,2.3695579280757424,0.8083259598929874,0.6482976334111109,0.9767819474134547,0.8609571434837917,0.7493224805042622,0.9691500441655351,0.5940829947291982,0.4476185583547817,0.9531466621854389,0.4881831528922443,0.3758523183162887,0.85882522939094,0.42185326916703725,0.06870622718790262,0.5991614664586583,0.3990380197655886,0.07604541181311049,0.5132510059664215,0.3818349730612078,0.07402478910104406,0.36650520358735794,0.3074793915651743,0.0957483169059734,0.27393270958547616,25200,81,1379.3,0.31640625
M_lam0,0.0,False,2,3,42,8,2.5359981488605174,4.043418286754641,0.8587719154707815,0.7382100829726267,0.9836863784633212,0.8902385176812617,0.8066915786708012,0.981695535744551,0.6446839273025683,0.5295621967559541,0.9568793860073076,0.46990437208694336,0.384818230365548,0.8713771693104281,0.8266235520030457,0.6873821953708222,0.9636641653187672,0.840412301478286,0.7305411894569619,0.9609987607186721,0.6532056716854261,0.5270278721071868,0.9149919971545438,0.3205452507630764,0.23057446335635323,0.7159055118110236,25200,81,1379.3,0.31640625
M_lam0_s43,0.0,False,2,3,43,8,2.172350365719676,3.7925063803744234,0.8716775501449852,0.7631011280041851,0.9847943763974397,0.9156007533764344,0.851242648817281,0.9836276240697248,0.707521220257748,0.606931481593461,0.9519460002872325,0.5394363848590962,0.4780651185056696,0.870994004070631,0.8233223858181328,0.661023800488471,0.946383039772542,0.8486005441212318,0.7318095353300962,0.9473826227738802,0.655298873360849,0.48684860080487613,0.649183507640691,0.30302545061499814,0.17269389080344746,0.2234514739980126,25200,81,1379.3,0.31640625
M_lam0_s44,0.0,False,2,3,44,8,2.535036698889909,4.0882805366050325,0.8694423177415631,0.7602267973082074,0.9849878032748572,0.914971371688165,0.8497819434493515,0.9842369752956128,0.6785145370071232,0.5779236892902219,0.9601227633676495,0.5619678955088128,0.4993630643341512,0.9080847194569427,0.8014779617520936,0.5870207923882843,0.9715063973717407,0.7689106980808658,0.5690522348731526,0.9742353766121246,0.6320562593732268,0.39513393982532335,0.6020990664208836,0.2794398325936487,0.06306441090267782,0.24417929700096744,25200,81,1379.3,0.31640625
